AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM2.5
15.7,2,0.65,0.15,2,16.4,18.4,17,71,0,78,2,2.1,22,30,2.6,2.4,50
15.6,2,0.6,0.14,1.9,16,17.8,16.9,74,0,78,2.3,2.1,18,16,2,2,50
15.4,2,0.55,0.12,1.9,14.7,16.7,18.3,62,0,78,2,2.1,14,18,2.3,1.9,43
15.4,2,0.49,0.11,1.6,13.1,14.6,19.1,58,0,78,2.2,2.1,17,10,2.7,1.9,41
15.4,2,0.5,0.11,1.5,15,16.5,16.7,56,0,78,2.3,2.1,26,25,2.5,1.8,34
15.4,2,0.47,0.12,1.3,13.3,14.6,16.9,54,0,78,2.3,2.1,22,16,2.3,1.9,33
15.2,2,0.43,0.11,1.5,15.5,17,16.9,57,0,78,2.4,2.1,13,22,2.4,2.5,32
15,2,0.46,0.13,2.5,17,19.5,17.7,58,0,80,2.6,2.1,25,37,2.8,2.1,32
16.1,2,0.52,0.15,5,16.4,21.5,20.4,76,0,76,3.1,2.1,27,25,2,2,35
18.1,2,0.64,0.18,6.3,16.3,22.6,24.8,76,0,70,3.3,2.1,25,8,2.5,1.8,33
20.2,2,0.67,0.18,6,16.4,22.4,33.1,82,0,65,3.1,2.1,21,359,2.2,1.5,41
21.8,2,0.62,0.15,4.4,13.8,18.2,46,82,0,62,2.9,2.1,1,350,2.8,2.3,38
23.1,1.9,0.48,0.11,2.5,8.6,11.1,59.1,80,0,59,2.7,2,355,1,2.5,2.3,41
24.1,1.9,0.48,0.1,2,9.4,11.4,61.8,97,0,55,4,2,349,346,2.4,2.1,40
24.6,1.9,0.43,0.1,1.9,9,11,66.5,95,0,53,3.6,2,349,20,2.1,2,38
24.1,1.9,0.47,0.12,1.9,11.3,13.2,64,99,0,57,3.6,2,346,332,3.3,2.3,31
21.6,1.8,0.51,0.15,1.5,12.1,13.6,59.5,92,0,70,3.3,2,342,355,2.9,2.7,28
20.6,1.9,0.58,0.16,1.4,13.5,14.9,51,107,0,72,2.5,2,0,4,3.2,2.3,31
19.4,1.9,0.52,0.12,1.4,11.6,13,45.4,122,0,77,1.9,2,7,8,2.9,2.4,40
18.5,1.9,0.51,0.11,1.4,11.5,12.9,40.1,118,0,81,2.2,2,17,22,2.9,2.7,37
18.1,1.9,0.51,0.11,1.4,13.7,15.1,33.6,102,0,83,2.5,2,17,20,2.2,2.7,37
17.8,1.9,0.53,0.11,1.5,15,16.5,28.8,86,0,84,2.8,2,17,17,2.8,2.4,34
17.5,1.9,0.53,0.11,1.5,15.5,16.9,25,74,0,85,3.1,2,14,9,2.4,2.2,33
17.3,1.9,0.52,0.12,1.5,17.2,18.7,20.2,72,0,86,3.1,2.1,16,18,1.7,1.7,26
17,1.96,0.56,0.14,1.7,19.6,21.3,15,68,0,87,3.3,2.1,28,17,1.2,1.7,30
